句子,朝代,解释
"阳月南飞雁
传闻至此回",出自唐代 宋之问《题大庾岭北驿》,"解释：十月份的时候大雁就开始南飞，据说飞到大庾岭，它们就全部折回。

赏析：诗人用比兴的手法，由雁及人，两两相形，沉郁、幽怨，人不如雁的感慨深蕴其中，流露出诗人对故乡的思念。"
"家住吴门
久作长安旅",出自宋代 周邦彦《苏幕遮·燎沉香》,"解释：我家本在江南一带，却长久地客居长安。

赏析：词人一个家住吴门、久客京师的游子，面对着江南陂塘风色的荷花，很自然地会勾起乡心，流露出淡淡的思乡愁绪。"
"三千里兮家未归
恨难禁兮仰天悲",出自魏晋 张翰《思吴江歌》,"解释：离家千里想回又不能回，心中的愁思怎么也压抑不住，只能向天悲叹！

赏析：此句直接抒情，“三千里”既可表确数，又可表虚数，给人以距离遥远之感，表达了诗人强烈的思归之情。"
"故园书动经年绝
华发春唯满镜生",出自唐代 崔涂《春夕》,"解释：家乡的来信长年断绝，春天万物萌生，镜中的我却已是满头白发了。

赏析：此句写出诗人归家不能而望眼欲穿的焦急心情，春天万物充满生机，而诗人已满头白发，一个“唯”字，更加突出了诗人的内心愁苦之深。"
"乡心新岁切
天畔独潸然",出自唐代 刘长卿《新年作》,"解释：新年来临，思乡的心情格外迫切，想到自己漂泊在外不禁潸然落泪。

赏析：此句写新年已至，诗人与亲人们相隔千里，独在异乡的情景，渲染了孤苦悲凄的气氛，传达出深厚的思乡之情。"
"夜听胡笳折杨柳
教人意气忆长安",出自唐代 王翰《凉州词二首·其二》,"解释：夜晚听着凄凉的胡笳曲《折杨柳》，让人的思乡之情更加浓厚。

赏析：此句描写了边关将士夜闻笳声的情景，渲染出了一种思乡的氛围，悲凉的笳声在夜空回荡，使战士们的思乡之意更加浓厚。"
"衣懒换
酒难赊可怜此夕看梅花",出自宋代 吴文英《思佳客·癸卯除夜》,"解释：衣服懒得换，酒钱也难赊。可怜我今晚只能独赏梅花。

赏析：此句刻画了词人颓唐、疏懒的神态，将贫穷尴尬状态渲染殆尽，也将词人无以解忧的烦恼和盘托出，接着写独赏梅花的情态，“此夕”，与“除夕”词题相扣，强调这特殊的夜晚和特殊的心绪，梅花闪现在眼前，与词人为伴，为知己，使词人获得莫大的安慰。"
"归雁横秋
倦客思家",出自元代 张可久《蟾宫曲·九日》,"解释：归来的大雁横越秋空，困倦游子思念故家。

赏析：此句明面上写乡思，实则是仕途与归隐之间的矛盾，词人将为官做吏看作是客寓，而将归隐当作正当的归宿。"
"碛里征人三十万
一时回首月中看",出自唐代 李益《从军北征》,"解释：驻守边关的三十万将士，听到悲伤的《行路难》，都抬起头来望着东升的月亮。

赏析：此句“碛里”、“月中”，烘染悲壮的意境，荒漠上、月夜中，使人加倍感到环境的荒凉、气氛的悲怆，传递出广大征人的哀怨之情。"
"洞庭一夜无穷雁
不待天明尽北飞",出自唐代 李益《春夜闻笛》,"解释：晚上洞庭湖畔停宿的无数大雁，还没等到天亮就都急切地往北飞。

赏析：诗人借大雁春来北飞，比托迁客欲归不得，寄喻得体，手法委婉，颇有新意，蕴含着诗人不尽的怨望和难言的惆怅。"
"一身虏云外
万里胡天西",出自唐代 岑参《早发焉耆怀终南别业》,"解释：我孤单一人置身于西北的塞外，几万里途程我处在遥远的天西。

赏析：此句叙写了边塞的遥远和诗人的形单影只，“一身”与“万里”互相对照，突出了诗人独处塞外的孤零之感。"
"满衣血泪与尘埃
乱后还乡亦可哀",出自明代 高启《送陈秀才还沙上省墓》,"解释：全身衣服都沾满了血泪和尘埃，战乱结束了，但是回到故乡也还会感到悲哀。

赏析：此句写诗人还乡的情景，展现出战后农村萧条凋零的景象，表达出诗人浓重的悲哀。"
"儿童见说深惊讶
却问何方是故乡",出自唐代 殷尧藩《同州端午》,"解释：小孩子见了很高兴又很惊讶，却问哪个方向是故乡？

赏析：此句描写儿童惊讶问话的场面，极富于生活的情趣，即使读者不为诗人久客伤老之情所感染，也能体会到诗人思归的期盼。"
绿杯红袖趁重阳人情似故乡,出自宋代 晏几道《阮郎归·天边金掌露成霜》,"解释：举绿杯，舞红袖，趁着九九重阳，人情温厚似故乡。

赏析：此句用笔细腻而蕴涵深厚，将客居之情与思乡之情交织来写，词人既赞美了故乡人情之美，表达出思乡心切的情怀，又赞美了重阳友情之美，表达了对友情的珍惜。"
三年枕上吴中路,出自宋代 苏轼《青玉案·送伯固归吴中》,"解释：三年间我的梦魂时时飞向吴中故园路。

赏析：此句抒发了词人对苏坚归吴的羡慕和自己对吴中旧游的思念。"
"更吹羌笛关山月
无那金闺万里愁",出自唐代 王昌龄《从军行七首》,"解释：此时又传来一阵幽怨的羌笛声，吹奏的是《关山月》的调子，无奈着笛声更增添了对万里之外的妻子的相思之情。

赏析：此句描写了戍卒城楼闻笛的情景，笛声悠悠，勾起了将士们心中的愁绪，没有直写征人思念亲人、怀恋乡土，偏从深闺妻子的万里愁怀反映出来，更加感人肺腑。"
"六翮飘飖私自怜
一离京洛十余年",出自唐代 高适《别董大二首》,"解释：就像鸟儿四处奔波无果只能自伤自怜，离开京洛已经十多年。

赏析：此句写诗人西游长安之后，飘零在外十多年的真实遭遇，隐隐流露出不得志的感伤之意。"
五月渔郎相忆否？,出自宋代 周邦彦《苏幕遮·燎沉香》,"解释：又到五月，不知家乡的朋友是否也在思念我？

赏析：夏日雨后荷塘的景致牵动了词人对故乡最亲切的回忆，不知家乡的亲友是否还记得曾经的美好岁月？可见词人的思乡浓情。"
"家临九江水
来去九江侧",出自唐代 崔颢《长干曲四首·其二》,"解释：我的家临近九江边，来来往往都在九江附近。

赏析：此句语言平白如话，诗人用白描的手法，寥寥几笔，使人物、场景跃然纸上，栩栩如生。"
"楚水巴山江雨多
巴人能唱本乡歌",出自唐代 刘禹锡《竹枝词二首·其二》,"解释：巴山楚水之地江上雨水多，巴人擅长吟唱本乡歌。

赏析：此句风格明快，颇具民歌特色，诗人身居蜀地，耳闻巴人歌唱，触动了心中的怀乡幽思。"
"寒山吹笛唤春归
迁客相看泪满衣",出自唐代 李益《春夜闻笛》,"解释：在寒山吹着笛子呼唤春天归来，被贬谪的人彼此对望不禁泪湿衣。

赏析：此句写春尚未归，所以有人“吹笛唤春归”，而迁客不胜其悲，以仿佛北方边塞情调，实写南谪迁客的怨望，起兴别致有味。"
"故乡篱下菊
今日几花开",出自南北朝 江总《于长安归还扬州九月九日行薇山亭赋韵》,"解释：家乡篱笆下的菊花，如今又有多少株盛开？

赏析：此句以故乡篱墙下的菊花为具体意象，唤起了诗人对家乡的思念，语意变得深沉。"
"春风一夜到衡阳
楚水燕山万里长",出自明代 王恭《春雁》,"解释：一夜之间，春风吹遍了衡阳城，江南与北方相距万里之长。

赏析：此句从春到衡阳切入，语气中充满欢欣，接着写出大雁归心的急切，抒发了诗人对家乡的怀念。"
"淮南秋雨夜
高斋闻雁来",出自唐代 韦应物《闻雁》,"解释：在淮南秋雨绵绵的漫漫长夜里，独坐楼中书房听那北来的雁叫声。

赏析：此句描写了寂寥的秋雨之夜，和凄清的雁叫之声，刻画了典型的萧瑟凄寂的环境，抒发了诗人的远宦思乡之情。"
"乡书不可寄
秋雁又南回",出自唐代 韦庄《章台夜思》,"解释：寄给家里的书信不能抵达，鸿雁已往南飞。

赏析：诗人见到那结伴南飞的大雁，内心就不禁情潮翻涌、愁肠百结，表达了诗人怀人思乡的深厚情感。"
"云雾凄清拂曙流
汉家宫阙动高秋",出自唐代 赵嘏《长安晚秋》,"解释：眼前凄冷清凉的云雾缓缓飘游，全城的宫观楼阁都在脚下浮动。

赏析：此句总揽长安全景，诗人凭高而望，见云雾飘游，宫殿楼阁在脚下浮动，景象迷蒙而壮阔，“凄清”二字，点明秋意的清冷，实衬诗人心境的凄凉，为全诗定下了基调。"
"故园今夕是元宵
独向蛮村坐寂寥",出自明代 王守仁《元夕二首》,"解释：故园的今天正是元宵节，我却在荒村独坐寂寞冷清。

赏析：每逢佳节倍思亲，元宵之夜，诗人却远离故乡亲友，独坐荒村，刻画出诗人寂寞冷清的心境。"
"万里归船弄长笛
此心吾与白鸥盟",出自宋代 黄庭坚《登快阁》,"解释：我从万里之外的远地乘船归来，在船上吹起长笛；我的这颗心，将愿与白鸥结为朋友。

赏析：诗人抒情寄慨，表达了归隐的心愿，“归船”、“长笛”、“白鸥”等意象，增加诗中形象之美。"
"从今后
断魂千里
夜夜岳阳楼",出自宋代 徐君宝妻《满庭芳·汉上繁华》,"解释：从今后，我的魂魄，要飞过几千里东来路，飞回岳阳故土。

赏析：此句语调凄恻低徊，其言之哀，意蕴无限遥深，令人不忍卒读，女词人临终自誓，她是如此从容地诀别于人间，又是如此固执地不舍于人间，充分体现出能出世而仍入世、置生死于度外的传统文化精神。"
"举头望明月
低头思故乡",出自唐代 李白《静夜思》,"解释：我抬起头来，看那天窗外空中的明月，不由得低头沉思，想起远方的家乡。

赏析：此句清新朴素，明白如话，却又体味无穷，几个简单的动作描写揭示了诗人内心情感的波动，勾勒出一幅生动形象的月夜思乡图，表现出诗人孤身远客的思乡情怀。"
"沧江好烟月
门系钓鱼船",出自唐代 杜牧《旅宿》,"解释：烟笼月照的碧江多么美丽，邻家门前就系着钓鱼归船。

赏析：诗人以设想之词，勾勒家乡美丽的生活图景，沧江烟霭，云霞明灭，月色溶溶，家门外系着钓鱼船，描绘出一幅优美宁静祥和的家乡风光图景，将浓烈的归思之情融入家乡优美的风景之中。"
"杳杳天低鹘没处
青山一发是中原",出自宋代 苏轼《澄迈驿通潮阁二首》,"解释：高飞的鹘鸟逐渐消逝在广漠天空与苍莽原野的相接之处，而地平线上连绵起伏的青山犹如一丛黑发，那里可正是中原故地啊！

赏析：此句以远渺之景抒写对故乡的怀念之情，青山在天际时隐时现，宛如发丝若有若无，它牵动着诗人思乡的情愫，勾起诗人执着的期望。"
"雁啼红叶天
人醉黄花地
芭蕉雨声秋梦里",出自元代 张可久《清江引·秋怀》,"解释：大雁在满是长满红叶的秋林上空长鸣而过，远离家乡的游子，醉卧在秋菊盛开的园中，思乡的梦里隐约听到秋雨轻打着芭蕉，声声不断。

赏析：诗人将“红叶”“黄花”“芭蕉”“秋雨”这些富有季节特征的景物组合在一起构成意境，渲染出一幅色彩浓丽的秋景图，寓寄着自己浓浓的乡思情。"
"明朝望乡处
应见陇头梅",出自唐代 宋之问《题大庾岭北驿》,"解释：来日我登上高山顶，向北遥望故乡，应该能看到那山头上初放的红梅。

赏析：诗人暗用陆凯《赠范晔诗》“折花逢驿使，寄与陇头人。江南无所有，聊赠一枝春”之典故，情致凄婉，绵长不断，抒发了诗人悠然不尽的怀乡之情。"
"乡泪客中尽
孤帆天际看",出自唐代 孟浩然《早寒江上有怀》,"解释：思乡的眼泪在异乡流尽，遥看天边的归来孤帆。

赏析：诗人触景生情，遥望着天际的归帆，遥想家乡的亲人，抒发出诗人其万般思乡泪落的沉切哀痛。"
"旅馆谁相问
寒灯独可亲",出自唐代 戴叔伦《除夜宿石头驿》,"解释：在这寂寞的旅店中有谁来看望慰问，只有一盏冷清的孤灯与人相伴相亲。

赏析：此句起句突兀，描写了诗人在除夕之夜，举目无亲，长夜枯坐的情景，“谁相问”，用设问的语气，更能突出旅人凄苦不平之情，“寒灯”，点出岁暮天寒，更衬出诗人思家的孤苦冷落的心情。"
"还将两行泪
遥寄海西头",出自唐代 孟浩然《宿桐庐江寄广陵旧游》,"解释：相忆相思我抑不住涕泪两行，遥望海西头把愁思寄去扬州。

赏析：诗人将忆旧与乡思寄给朋友，更加突出作者对旧友的思念和失意后的愤激孤苦。"
"风尘荏苒音书绝
关塞萧条行路难",出自唐代 杜甫《宿府》,"解释：光阴荏苒哪里寻觅亲人音信？关塞一片萧条寻找归路艰难。

赏析：风尘荏苒，音书断绝，关塞阻隔，流露出诗人悲凉的心境，以及浓厚的思家、忆弟之情。"
"万里沧江生白发
几人灯火坐黄昏？",出自明代 王守仁《因雨和杜韵》,"解释：漂泊江河茫茫万里，我都生了白发，世上有几人如此灯下对坐在黄昏？

晚堂疏雨暗柴门，忽入残荷泻石盆。"
"忽闻歌古调
归思欲沾巾",出自唐代 杜审言《和晋陵陆丞早春游望》,"解释：忽然听到你歌吟古朴的曲调，勾起归思情怀令人落泪沾襟。

赏析：诗人用“忽闻”以示意外语气，巧妙地表现出无意中引发的思乡之痛，因而感伤流泪，展现出宦游江南的感慨和归思。"
"鹧鸪声里夕阳西
陌上征人首尽低",出自清代 尤侗《闻鹧鸪》,"解释：夕阳西下，傍晚时分，路旁树丛中传来鹧鸪一声声凄楚的啼鸣，田间道路上的行人已经感觉疲乏，步履艰难，心中更觉伤感。

赏析：此句景中含情，渲染出一种愁闷怅惘的氛围，借旅人听到鹧鸪啼鸣声起兴，托意深远。"
"等是有家归未得
杜鹃休向耳边啼",出自唐代 佚名《杂诗》,"解释：同样是有家，我却有家归不得，杜鹃啊，不要在我耳边不停地悲啼。

赏析：此句是游子久居在外，深切怀念家乡和亲人，却久久不能归家的哀伤和寂寞。"
"家山回首三千里
目断天南无雁飞",出自宋代 赵佶《在北题壁》,"解释：回首故国，相隔千山万水；我放眼南望，一直看到云天尽处，也见不到一只大雁在飞翔。

赏析：诗人回首故国，恨无寄书人，包括了无数的对往事的困惑、迷恋及深切的悲慨，“三千里”极言其远，“目断天南”刻绘出满怀的愁怨，表达出诗人的失国之悲。"
"有情知望乡
谁能鬒不变？",出自南北朝 谢朓《晚登三山还望京邑》,"解释：怀着望乡之情的人，又有谁能不白了头发呢？

赏析：此句情调柔弱消沉，表达了诗人的离乡之苦。"
"寒衣处处催刀尺
白帝城高急暮砧",出自唐代 杜甫《秋兴八首》,"解释：又在赶制冬天御寒的衣服了，白帝城上捣制寒衣的砧声一阵紧似一阵。

赏析：“处处”“催”等词语显示出时间的急迫，这种紧迫感仿佛将寒冬的冷气也带入诗歌，表现出诗人客居他乡的悲哀之情。"
"殊方日落玄猿哭
旧国霜前白雁来",出自唐代 杜甫《九日五首·其一》,"解释：日落时传来黑猿的啼哭声，久久不住，南来的白雁带来长安的霜讯。

赏析：诗人触景生情，诗中用他乡和故园的物候作对照，自然地透露了诗人思亲怀乡的感情。"
"思家步月清宵立
忆弟看云白日眠",出自唐代 杜甫《恨别》,"解释：我思念家乡，忆念胞弟，清冷的月夜，思不能寐，忽步忽立。冷落的白昼，卧看行云，倦极而眠。

赏析：此句通过对诗人坐卧不定的描写，委婉曲折地表现了怀念亲人的无限情思。"
"白下有山皆绕郭
清明无客不思家",出自明代 高启《清明呈馆中诸公》,"解释：南京城四周群山环绕，景色秀丽，正值清明时节，又有哪个游子不思念自己的家乡呢？

赏析：此句含蓄委婉、曲折隐微，诗人以典丽细腻的语言和笔法，描写了青山环绕的情景，表达出羁旅途中的客愁与乡思。"
"燕歌未断塞鸿飞
牧马群嘶边草绿",出自唐代 李益《塞下曲四首·其一》,"解释：在不绝的豪壮燕歌声中，边塞的鸿雁高飞，放牧的马儿叫着。春天快到了，地上的草开始转绿。

赏析：此句描写了西北草原壮丽的景色，呈现出一片生气蓬勃的气象，表现出将士生活的满怀豪情，也流露出诗人对边地的热爱和自豪情怀。"
"迢递三巴路
羁危万里身",出自唐代 崔涂《巴山道中除夜书怀》,"解释：跋涉在道路崎岖又遥远的三巴路上，客居在万里之外的危险地方。

赏析：此句用字精炼准确，“迢递”“羁危”让人顿感起笔之突兀，而“三巴路”“万里身”又显得气象宏大，抒发出诗人飘泊天涯的无限情怀。"
"催成清泪
惊残孤梦
又拣深枝飞去",出自宋代 陆游《鹊桥仙·夜闻杜鹃》,"解释：啼声越来越远，带着深深的漆黑的影子，惊醒了我的梦，让人清泪欲洒。

赏析：此句的“孤梦”点明客中，词人客中无聊，寄之于梦，偏被“惊残”，“催成清泪”，写杜鹃啼叫一声紧似一声，触动了词人的羁愁。"
"还顾望旧乡
长路漫浩浩",出自两汉 佚名《涉江采芙蓉》,"解释：回头看那一起生活过的故乡，长路漫漫遥望无边无际。

赏析：诗人转换视角，写远方的丈夫此刻也正带着无限思念，回望妻子所在的故乡，增强了诗歌情感的表达效果。"
"故园眇何处
归思方悠哉",出自唐代 韦应物《闻雁》,"解释：故乡遥远，模糊不清，不知道在哪里啊？归家的思绪无穷无尽。

赏析：上句诗人以设问起，下句出以慨叹，故园的渺远和归思的悠长构成正比，渲染出全诗萧瑟凄清的情调。"
"乡思不堪悲橘柚
旅游谁肯重王孙",出自五代 谭用之《秋宿湘江遇雨》,"解释：乡思难耐，看见橘柚更令人悲叹。羁旅他乡，如被弃的山野之人无人看重。

赏析：诗人对于橘树的“适得其所”心向往之。相形之下，自己滞留此地，已是身不由己，再加上生不逢时、有志难骋的遭遇，不觉更加凄苦、悲凉。“王孙”意为隐居的贤士，后来也用来称呼游子，此处则二意并存，借指诗人自己。诗人怀抱经世之才和救世之志，然而却始终不被重视，只能到处漂泊，抒发了诗人的思乡之情和生不逢时之悲。"
"乡心正无限
一雁度南楼",出自唐代 赵嘏《寒塘》,"解释：思乡之情正无边无际，又见一只孤雁飞过南楼。

赏析：诗人心中的愁情因南飞之雁一触而发，“一雁”的“一”字，表现出清冷孤独的意境，抒发了诗人的思乡之愁。"
"不用凭栏苦回首
故乡七十五长亭",出自唐代 杜牧《题齐安城楼》,"解释：不必倚靠栏杆苦苦回头眺望，这里到故乡有七十五个驿亭。

赏析：诗人凭栏，远望故乡，一无所见，此句运用具体的数字来刻画情感，修辞别致，只见归程，不见归人，意味深长。"
"借问落梅凡几曲
从风一夜满关山",出自唐代 高适《和王七玉门关听吹笛》,"解释：借问悠悠的落梅乐曲有几首？长风万里吹拂一夜洒满关山。

赏析：此句文字优美，意蕴无穷，属于虚写，在茫茫夜色下，《梅花落》的笛声和皎洁的月色交相辉映，构成一种深远宁静的意境，将思乡之情写得含蓄隽永。"
"戍客望边邑
思归多苦颜",出自唐代 李白《关山月》,"解释：戍守的士卒眼望着边城，那盼望归家的面容多么凄苦悲哀！

赏析：此句境界广阔而渺远，戍边的战士们想象中的高楼思妇的情思，不禁心生叹息，揭示了战争给无数征人及其家属所带来的痛苦。"
"汉月垂乡泪
胡沙费马蹄",出自唐代 岑参《碛西头送李判官入京》,"解释：一路上，想起家乡的月，不免对月垂泪；踩着脚下的沙，更觉路途艰辛。

赏析：此句描写了星夜兼程赶路的情形，诗人将明月拟人化，赋予无生命的月亮以活泼的人格，显得别有情致；“费马蹄”三字，既指对马蹄的磨损，更有沙软难行之意，突出了行程的艰难。"
"宦情羁思共凄凄
春半如秋意转迷",出自唐代 柳宗元《柳州二月榕叶落尽偶题》,"解释：官场上的失意和寄居他乡的忧思一起涌上心头，阳春二月的景象也好像到了寒秋一样，令人心意凄迷。

赏析：诗人没有用浓墨重彩渲染苦情，只用“凄凄”两字轻描一笔，以平淡的笔墨来显示深厚的感情，凸显出宦情的凄凄加羁思的凄凄。"
"那堪正飘泊
明日岁华新",出自唐代 崔涂《巴山道中除夜书怀》,"解释：真难以忍受在漂泊中度过除夕夜，除夕一过，明天又是岁月更新的一年。

赏析：此句语言真切自然，强烈地表达了诗人不堪忍受的异乡飘泊，希望早日结束羁旅生涯的愿望。"
"空梦长安
认取长安道",出自宋代 李清照《蝶恋花·上巳召亲族》,"解释：只能在梦里梦见京城，还能认出那些熟悉的京都街道。

赏析：此句语调沉痛，“长安”代指汴京，词人长夜辗转反侧，梦见汴京的宫阙城池，然而实不可到，故说“空”，抒写对汴京被占的哀思。"
"送子军中饮
家书醉里题",出自唐代 岑参《碛西头送李判官入京》,"解释：今日你我于军中痛饮，你将走上我来时的路。我乘醉写下家书，就请你为我传递。

赏析：此句描写了诗人在醺然中挥毫疾书、下笔不能自休的情状，表现出诗人在醉中仍然没有忘记家乡和亲人，足见乡思之切、之深。"
"青墩溪畔龙钟客
独立东风看牡丹",出自宋代 陈与义《咏牡丹》,"解释：作为身在异乡的龙钟老人，看到青墩溪畔的牡丹花开了，就想起了洛阳的牡丹，只能孤独地站在春风中默默观看。

赏析：诗人面对眼前的美景，忆起昔日在家乡赏花的情景，表达出了对故乡深切无尽的思念及对前景的无望与悲苦万千的愁绪。"
天怜客子乡关远借与花消遣,出自宋代 蒋捷《虞美人·梳楼》,"解释：上天怜我客中游子故乡遥远，借一株海棠花给我消遣。

赏析：此句展现了词人在急切盼归不成之后的心理活动，一个“天怜”，把客愁乡思表现得更加突出，但“天”怜则怜矣，却不能赐以归舟，而只能“借与花消遣”，“借”字用得不同凡响，客居他乡，花非我有，以花消愁，也只能“借”之而已，在一“怜”一“借”间，婉转含蓄地表达出思乡怀人、愁苦难消的心境。"
"闻道风光满扬子
天晴共上望乡楼",出自唐代 李益《行舟》,"解释：望乡楼上凭栏远望，这满眼风光，我却无心赏景，只思念塞北故乡。

赏析：诗人登望乡楼远眺，见风光明媚的晴天丽日，撩动了游子思乡的愁绪。"
"老至居人下
春归在客先",出自唐代 刘长卿《新年作》,"解释：年老了反而被贬谪他处居于人下，连春天也脚步匆匆走在我的前头。

赏析：此句化用薛道衡“人归落雁后，思发在花前”之句，饱含着诗人年老失时的辛酸和仕途失意的悲愤，抒发了身世之感伤和思乡之苦思。"
