句子,朝代,作者,题目,解释,赏析
"羁鸟恋旧林
池鱼思故渊",出自魏晋,陶渊明,归园田居·其一,解释：笼子里的鸟儿怀念以前生活的森林，池子里的鱼儿思念原来嬉戏的深潭。,赏析：诗人以“羁鸟”、“池鱼”比喻自己误入尘网，不幸受到世俗的羁绊，表达了诗人从对官场生活的强烈厌倦，流露出归隐田园的渴望，后人常用此句来表达不堪束缚、渴望自由的志趣。
"残星几点雁横塞
长笛一声人倚楼",出自唐代,赵嘏,长安晚秋,解释：残星点点大雁南飞越关塞，悠扬笛声里我独倚高楼。,赏析：“残星几点”是目见，“长笛一声”是耳闻；“雁横塞”取动势，“人倚楼”取静态，诗人借景抒情，表达了羁留他乡的郁闷之情。
"洛阳城里见秋风
欲作家书意万重",出自唐代,张籍,秋思,解释：洛阳城里刮起了秋风，心中思绪翻涌想写封家书问候平安。,赏析：诗人借助日常生活中一个的片断——欲写家书之际的意念和情态，细腻地表达了对家乡亲人的深切怀念。
"离别家乡岁月多
近来人事半消磨",出自唐代,贺知章,回乡偶书二首,解释：已经离开家乡很多年了，回家后才感觉到家乡的人事都已变化太多。,赏析：此句中的“岁月多”、“近来”等表示时间的词语贯穿而下，流露出诗人离家漂泊、物是人非的感慨。
"一叫一回肠一断
三春三月忆三巴",出自唐代,李白,宣城见杜鹃花,解释：杜鹃鸣叫悲啭，使人愁肠寸断。暮春三月，这鸟鸣花开的时节，心中思念故乡。,赏析：此句点明了时令，诗人将杜鹃花开、子规悲啼和自己的断肠之痛融于一体，抒发了苍茫无涯的愁思。
日暮乡关何处是？烟波江上使人愁,出自唐代,崔颢,黄鹤楼,解释：暮色渐渐漫起，哪里是我的家乡？江面烟波渺渺让人更生烦愁。,赏析：诗人触景生情，江上的雾霭一片迷蒙，诗人眼底也生出的浓浓迷雾，那是一种隐隐的泪花和心系天下苍生的广义乡愁，诗作以一“愁”收篇，准确地表达了日暮时分诗人登临黄鹤楼的心情。
"此夜曲中闻折柳
何人不起故园情",出自唐代,李白,春夜洛城闻笛,解释：客居之夜听到《折杨柳》的曲子，谁又能不生出怀念故乡的愁情？,赏析：此句音韵优美，意境清新，言浅意深，引人共鸣，《折杨柳》曲伤离惜别，其音哀怨幽咽，不经意间激发了诗人的思乡愁绪，可见感触之深，思乡之切。
"故乡今夜思千里
霜鬓明朝又一年",出自唐代,高适,除夜作,解释：故乡的人今夜一定在思念远在千里之外的我，我的鬓发已经变得斑白，到了明年又新增一岁。,赏析：诗人用浅近的口语，表达了除夕夜的寻常感受，将他乡游子真实的感受写得淋漓尽致。
"羌管悠悠霜满地
人不寐
将军白发征夫泪",出自宋代,范仲淹,渔家傲·秋思,解释：远方传来羌笛的悠悠之声，天气寒冷，霜雪满地。夜深了，在外征战的人都难以入睡，无论是将军还是士兵，都被霜雪染白了头发，只好默默地流泪。,赏析：羌管之声给人以凄清、悲凉之感，此句情调苍凉而悲壮，写将士们远戍边疆的愁苦、满怀乡愁的思念，爱国激情，浓重乡思，兼而有之。
"悲歌可以当泣
远望可以当归",出自两汉,佚名,悲歌,解释：悲歌一曲代替思家的哭泣，登高眺望远方就当做返回了故乡。,赏析：诗人以悲歌代替哭泣，表明了深重的悲哀情绪，以远望代替归乡，表明了归家不能的无奈和苦思，此句情感真挚，令人读之深感哀痛。
"素衣莫起风尘叹
犹及清明可到家",出自宋代,陆游,临安春雨初霁,解释：不要叹息那京都的尘土使洁白的衣衫变得污秽，清明时节还来得及回到镜湖边的山阴故家。,赏析：此句语意沉重，道出了诗人羁旅风霜之苦，又寓有京中恶浊，久居为其所化的意思，流露出诗人深深的无奈和愤慨。
"西北望乡何处是
东南见月几回圆",出自唐代,白居易,八月十五日夜湓亭望月,解释：向着西北望也看不到家乡，人在东南看见月亮又圆了好几次。,赏析：诗人以特定空间与特定时间的月亮作今昔对比，抒发了诗人谪居生活的愁闷和浓厚的思乡之情。
"故国三千里
深宫二十年",出自唐代,张祜,宫词二首·其一,解释：与故乡相隔，有三千里之遥远，我已被幽闭在这深宫里二十年了。,赏析：诗人以举重若轻、驭繁如简的笔力，将宫人远离故乡、幽闭深宫的整个遭遇浓缩在短短十个字中，使读者感到其命运更加悲惨，其身世更可同情。
"马上相逢无纸笔
凭君传语报平安",出自唐代,岑参,逢入京使,解释：在马上匆匆相逢没有纸笔写书信，只有托你捎个口信，给家人报平安。,赏析：此句写遇到入京使者时欲捎书回家报平安又苦于没有纸笔的情景，简净之中寄寓着诗人的一片深情，寄至味于淡薄，颇有韵味。
"不知何处吹芦管
一夜征人尽望乡",出自唐代,李益,夜上受降城闻笛,解释：不知何处吹起凄凉的芦管，惹得出征的将士一夜都在思念家乡。,赏析：此句意境悲壮苍凉，以“望乡”一词写出了征人望乡、彻夜难眠的景象，表达出诗人月夜闻笛时的迷惘心情，也写出了人物不尽的乡愁。
"仍怜故乡水
万里送行舟",出自唐代,李白,渡荆门送别,解释：我依然喜爱这来自故乡之水，不远万里来送我东行的小舟。,赏析：此句意境高远，风格雄健，运用了拟人的修辞手法，将故乡水拟人化，借写故乡之水恋恋不舍，表达了诗人离开故乡时依依不舍，思念故乡的感情。
"共看明月应垂泪
一夜乡心五处同",出自唐代,白居易,望月有感,解释：同看明月，分散的亲人都会伤心落泪，夜里思乡的情感各地都相同。,赏析：孤单的诗人凄惶中夜深难寐，举首遥望孤悬夜空的明月，情不自禁联想到飘散在各地的亲人们，以绵邈真挚的诗思，构出一幅五地望月共生乡愁的图景，表达了对亲人的深切思念。
"独在异乡为异客
每逢佳节倍思亲",出自唐代,王维,九月九日忆山东兄弟,解释：一个人独自漂泊在他乡作异客，每逢节日加倍思念远方的亲人。,赏析：诗人在外强烈的异地作客之感，在外越是孤独，对家乡亲人的思念之情就越强烈，诗人平淡地叙述自己身在异乡的漂泊之感，包含着诗人质朴的思乡之情。
"今年海角天涯
萧萧两鬓生华",出自宋代,李清照,清平乐·年年雪里,解释：今年又到梅花开放的时候，我却漂泊天涯，两鬓稀疏的头发也已斑白。,赏析：此句由“今年”两字领起，同上阕的“年年”明显相对，“萧萧两鬓生华”包含着词人许多的辛酸和哀愁，词人南渡后背井离乡，四处奔波，颠沛流离，沦落飘零，生活的折磨使词人很快变得憔悴苍老，头发稀疏，两鬓花白。
"京口瓜洲一水间
钟山只隔数重山",出自宋代,王安石,泊船瓜洲,解释：京口和瓜洲之间只隔着一条长江，钟山就隐没在几座山峦的后面。,赏析：诗人站在瓜洲渡口，放眼南望，“一水间”三字，形容舟行迅疾，抒发了诗人眺望江南、思念家乡的深切感情。
"他乡共酌金花酒
万里同悲鸿雁天",出自唐代,卢照邻,九月九日登玄武山,解释：远在他乡和朋友们喝着菊花酒，身隔万里伤心望着飞向南边的鸿雁。,赏析：诗人与友人共饮菊花酒，借酒消乡愁，又写鸿雁南归，烘托出异乡思归的无奈心情。
"阶下青苔与红树
雨中寥落月中愁",出自唐代,李商隐,端居,解释：台阶下的青苔和庭中被秋霜染红的树叶，在迷蒙的秋雨以及冷冷的清月笼罩下，越发勾起我那悠长的愁绪。,赏析：青苔、红树，在迷濛雨色、朦胧夜月的笼罩下，显示出黯淡模糊的色调，流露出诗人胸怀愁绪而寥落之情。
"人言落日是天涯
望极天涯不见家",出自宋代,李觏,乡思,解释：人们都说太阳落山的地方就是天涯，我竭力朝天涯眺望，也没有看到我的家。,赏析：此句从极远处着笔，写诗人极目天涯时所见所感，极力写出故乡的遥远，流露出诗人的浓郁乡思。
"海上生明月
天涯共此时",出自唐代,张九龄,望月怀远,解释：辽阔无际的海上升起一轮明月，使人忆起远隔天涯海角的亲友，此刻我们正望着同一轮明月。,赏析：起句“海上生明月”，意境雄浑阔大，自然具有一种高华浑融的气象，“天涯共此时”一句即由景入情，转入“怀远”，写了诗人月夜怀念远人的心情。
"露从今夜白
月是故乡明",出自唐代,杜甫,月夜忆舍弟,解释：从今夜就进入了白露节气，月亮还是故乡的最明亮。,赏析：“露从今夜白”一句既写景，也点明节候，白露的夜晚，清露盈盈，令人顿生寒意，“月是故乡明”一句又融入了诗人的主观感情，深刻地表现了诗人对故乡的感怀。
"山一程
水一程
身向榆关那畔行
夜深千帐灯",出自清代,纳兰性德,长相思·山一程,解释：跋山涉水走过一程又一程，将士们马不停蹄地向着山海关进发。夜已经深了，千万个帐篷里都点起了灯。,赏析：此句写出旅程的艰难曲折，遥远漫长，表达了诗人对故乡的深深依恋和怀念，在豪迈的词句中寓寄了词人无限的乡愁。
"春风又绿江南岸
明月何时照我还？",出自宋代,王安石,泊船瓜洲,解释：和煦的春风又吹绿了江南岸边景色，皎洁的明月什么时候才能照着我回到家乡呢？,赏析：诗人描写江岸美丽的春色，“绿”字将诗意开拓一层，把看不见的春风转换成鲜明的视觉形象，又将草绿与思归联系在一起，暗示了诗人希望早日辞官归家的心愿，寄托了诗人浩荡的情思，结句的疑问语气更增添了诗人内心的无奈和伤感。
"今夜月明人尽望
不知秋思落谁家",出自唐代,王建,十五夜望月,解释：今天晚上人们都仰望当空明月，不知道这秋思之情落在了谁家？,赏析：此句诗人没有正面写自己的思亲之愁，而是用一种疑问式的委婉语气道出那绵绵的愁念会落在谁家，更具月明人远、思深情长的意境。
"洛阳亲友如相问
一片冰心在玉壶",出自唐代,王昌龄,芙蓉楼送辛渐,解释：如果洛阳的亲友若是问起我来，就说我的心依然像玉壶里的冰一样纯洁，未受功名利禄等世情的玷污。,赏析：诗人以晶莹透明的冰心玉壶自喻，表现了不肯妥协的精神，刻画了诗人孤介傲岸、冰清玉洁的形象，后人常用“冰心玉壶”形容人内心情操的纯洁高净。
"落叶他乡树
寒灯独夜人",出自唐代,马戴,灞上秋居,解释：面对他乡树木落叶纷纷，寒夜的孤灯独照我一人。,赏析：此句的一个“寒”字，一个“独”字，写出诗人灞上秋居漂泊异乡孤独寂寞的情景，突出诗人的孤独凄苦。
"近乡情更怯
不敢问来人",出自唐代,宋之问,渡汉江,解释：离故乡越近心中越胆怯，不敢询问从家那边过来的人。,赏析：此句写了诗人急切盼回家，又怕到家里的矛盾心理状态，更能体现诗人此际强自抑制的急切愿望和由此造成的精神痛苦。
"羌笛何须怨杨柳
春风不度玉门关",出自唐代,王之涣,凉州词二首·其一,解释：何必用羌笛吹起那哀怨的《杨柳曲》去埋怨春光迟迟不来呢，原来玉门关一带春风是吹不到的啊！,赏析：诗人不说“闻折柳”却说“怨杨柳”，造语尤妙，深化了诗意，“何须怨”看似宽慰，实则曲折表达了心中的抱怨，诗人委婉地表达了对皇帝不顾及戍守玉门关边塞士兵的生死，不能体恤边塞士兵的抱怨之情。
"谁家玉笛暗飞声
散入春风满洛城",出自唐代,李白,春夜洛城闻笛,解释：这是从谁家飘出的悠扬笛声呢？它随着春风飘扬，传遍洛阳全城。,赏析：此句是诗人的想象，也是艺术的夸张，扣紧一个“闻”字，抒写了诗人闻笛的感受，想象笛声散入洛阳城中，衬出笛声的动人、夜的安静。
"风一更
雪一更
聒碎乡心梦不成
故园无此声",出自清代,纳兰性德,长相思·山一程,解释：帐篷外风声不断，雪花不住，嘈杂的声音打碎了思乡的梦，想到远隔千里的家乡没有这样的声音啊。,赏析：此句描写塞外狂风骤雪的荒寒景象，以哀景衬伤情，风雪载途，行者乡思更烈，表现了一夜征人尽望乡的愁肠百转的心态。
"举杯邀明月
对影成三人",出自唐代,李白,月下独酌·其一,解释：举杯向天，邀请明月与我共饮，月影与我的影子相对，便映照出三人。,赏析：此句描写了诗人独饮时所产生的寂寥之感，他邀请明月和自己的影子一起共饮，表现出一种孤寂忧愁的情怀。
"萧萧梧叶送寒声
江上秋风动客情",出自宋代,叶绍翁,夜书所见,解释：瑟瑟的秋风吹动梧桐树叶，送来阵阵寒意，江上秋风吹来不禁思念起自己的家乡。,赏析：此句描写落木萧萧，寒声阵阵的自然环境，塑造了凄怆落寞的气氛，此萧索之景引发了诗人思乡的愁绪。
"但愿人长久
千里共婵娟",出自宋代,苏轼,水调歌头·明月几时有,解释：只希望这世上所有人的亲人都能平安健康长寿，即使相隔千里也能一起欣赏这美好的月亮。,赏析：但愿人们年年平安，相隔千里也能够共享这美好的月光，表达了诗人的祝福和对亲人的思念，表现了诗人旷达的态度和乐观的精神。
"惟有门前镜湖水
春风不改旧时波",出自唐代,贺知章,回乡偶书二首,解释：只有门前那在春风吹拂下泛起一圈一圈涟漪的镜湖的碧水，还是旧时模样。,赏析：诗人独立镜湖之旁，一种“物是人非”的感触自然涌上了他的心头，强调除湖波以外，昔日的人事几乎已经变化净尽了，表达了诗人对人事无常的慨叹。
"乱山残雪夜
孤烛异乡人",出自唐代,崔涂,巴山道中除夜书怀,解释：乱山上残雪在黑夜里闪光，一支烛火陪伴着我这异乡的人。,赏析：诗人描绘出了异乡除夜的凄凉，“孤烛”照孤客，孤客对“孤烛”，物态人情，相互映衬，有力地揭示出诗人孤苦的心境。
"巴山楚水凄凉地
二十三年弃置身",出自唐代,刘禹锡,酬乐天扬州初逢席上见赠,解释：被贬谪到巴山楚水这些荒凉的地区，度过了二十三年沦落的光阴。,赏析：诗人通过“凄凉地”和“弃置身”这些富有感情色彩的字句的渲染，写出诗人长期谪居的痛苦经历，让读者感觉到诗人抑制已久的愤激心情。
"浊酒一杯家万里
燕然未勒归无计",出自宋代,范仲淹,渔家傲·秋思,解释：饮一杯浊酒，不由得想起万里之外的亲人，眼下战事未平，功名未立，还不能早作归计。,赏析：词人防守危城，天长日久，难免起乡关之思，这“一杯”与“万里”数字之间形成了悬殊的对比， 一杯浊酒，消不了浓重的乡愁，造语雄浑有力，乡愁皆因“燕然未勒归无计”而产生。
"借问梅花何处落
风吹一夜满关山",出自唐代,高适,塞上听吹笛,解释：试问饱含离情的《梅花曲》飘向何处？它仿佛像梅花一样随风落满了关山。,赏析：诗人将“梅花落”拆用，构成一种虚景，与雪净月明的实景配搭和谐，虚实交错，构成美妙阔远的意境，流露出诗人淡淡的思乡之情。
"悠悠天宇旷
切切故乡情",出自唐代,张九龄,西江夜行,解释：天空辽阔悠远，思念故乡的情思越发哀切。,赏析：此句对仗工整，两个叠词用得自然贴切，诗人遥望天空，对故乡的思恋之情愈加浓烈。
"一年将尽夜
万里未归人",出自唐代,戴叔伦,除夜宿石头驿,解释：今夜是一年中的最后一个夜晚，我却万里漂泊未能归家。,赏析：此句言简意赅，措辞凝练，写诗人除夕之夜，流落在外，独自一人，举目无亲，其飘零异乡之感，悲痛万分，让人感受到了离愁别绪的浓郁气息。
"总为浮云能蔽日
长安不见使人愁",出自唐代,李白,登金陵凤凰台,解释：悠悠浮云总是遮蔽太阳的光辉，登高不见长安城，怎么不让人内心沉痛忧郁。,赏析：长安是朝廷的所在，日是帝王的象征，此句暗示皇帝被奸邪包围，而自己报国无门，抒发了诗人忧国伤时的情怀。
"多少天涯未归客
尽借篱落看秋风",出自明代,唐寅,菊花,解释：有多少远在他方为客的未归人啊，只能借着篱笆看看秋天的景色。,赏析：诗人托物起兴，以菊花自比，在开放的秋菊中看尽了浓浓衰飒的秋意，也象征着诗人自身的高洁品格。
"少小离家老大回
乡音无改鬓毛衰",出自唐代,贺知章,回乡偶书,解释：年少时离开了家乡如今到老才还乡，我的乡音虽未改变，但鬓发却已经稀疏斑白。,赏析：诗句点明离家与回乡相距年岁之久、时间之遥，用“少小离家”与“老大回”的句中自对，概括写出数十年久客他乡的事实，暗寓自伤“老大”之情，蕴藏着诗人很深的感慨。
"君自故乡来
应知故乡事",出自唐代,王维,杂诗三首·其二,解释：您是刚从我们家乡来的，一定了解家乡的人情世态。,赏析：诗人以一种不加修饰、接近于生活的自然状态的形式，传神地表达了对家乡的思念。
"羁鸟恋旧林
池鱼思故渊",出自魏晋,陶渊明,归园田居·其一,解释：笼子里的鸟儿怀念以前生活的森林，池子里的鱼儿思念原来嬉戏的深潭。,赏析：诗人以“羁鸟”、“池鱼”比喻自己误入尘网，不幸受到世俗的羁绊，表达了诗人从对官场生活的强烈厌倦，流露出归隐田园的渴望，后人常用此句来表达不堪束缚、渴望自由的志趣。
"残星几点雁横塞
长笛一声人倚楼",出自唐代,赵嘏,长安晚秋,解释：残星点点大雁南飞越关塞，悠扬笛声里我独倚高楼。,赏析：“残星几点”是目见，“长笛一声”是耳闻；“雁横塞”取动势，“人倚楼”取静态，诗人借景抒情，表达了羁留他乡的郁闷之情。
"洛阳城里见秋风
欲作家书意万重",出自唐代,张籍,秋思,解释：洛阳城里刮起了秋风，心中思绪翻涌想写封家书问候平安。,赏析：诗人借助日常生活中一个的片断——欲写家书之际的意念和情态，细腻地表达了对家乡亲人的深切怀念。
"离别家乡岁月多
近来人事半消磨",出自唐代,贺知章,回乡偶书二首,解释：已经离开家乡很多年了，回家后才感觉到家乡的人事都已变化太多。,赏析：此句中的“岁月多”、“近来”等表示时间的词语贯穿而下，流露出诗人离家漂泊、物是人非的感慨。
"一叫一回肠一断
三春三月忆三巴",出自唐代,李白,宣城见杜鹃花,解释：杜鹃鸣叫悲啭，使人愁肠寸断。暮春三月，这鸟鸣花开的时节，心中思念故乡。,赏析：此句点明了时令，诗人将杜鹃花开、子规悲啼和自己的断肠之痛融于一体，抒发了苍茫无涯的愁思。
日暮乡关何处是？烟波江上使人愁,出自唐代,崔颢,黄鹤楼,解释：暮色渐渐漫起，哪里是我的家乡？江面烟波渺渺让人更生烦愁。,赏析：诗人触景生情，江上的雾霭一片迷蒙，诗人眼底也生出的浓浓迷雾，那是一种隐隐的泪花和心系天下苍生的广义乡愁，诗作以一“愁”收篇，准确地表达了日暮时分诗人登临黄鹤楼的心情。
"此夜曲中闻折柳
何人不起故园情",出自唐代,李白,春夜洛城闻笛,解释：客居之夜听到《折杨柳》的曲子，谁又能不生出怀念故乡的愁情？,赏析：此句音韵优美，意境清新，言浅意深，引人共鸣，《折杨柳》曲伤离惜别，其音哀怨幽咽，不经意间激发了诗人的思乡愁绪，可见感触之深，思乡之切。
"故乡今夜思千里
霜鬓明朝又一年",出自唐代,高适,除夜作,解释：故乡的人今夜一定在思念远在千里之外的我，我的鬓发已经变得斑白，到了明年又新增一岁。,赏析：诗人用浅近的口语，表达了除夕夜的寻常感受，将他乡游子真实的感受写得淋漓尽致。
"羌管悠悠霜满地
人不寐
将军白发征夫泪",出自宋代,范仲淹,渔家傲·秋思,解释：远方传来羌笛的悠悠之声，天气寒冷，霜雪满地。夜深了，在外征战的人都难以入睡，无论是将军还是士兵，都被霜雪染白了头发，只好默默地流泪。,赏析：羌管之声给人以凄清、悲凉之感，此句情调苍凉而悲壮，写将士们远戍边疆的愁苦、满怀乡愁的思念，爱国激情，浓重乡思，兼而有之。
"悲歌可以当泣
远望可以当归",出自两汉,佚名,悲歌,解释：悲歌一曲代替思家的哭泣，登高眺望远方就当做返回了故乡。,赏析：诗人以悲歌代替哭泣，表明了深重的悲哀情绪，以远望代替归乡，表明了归家不能的无奈和苦思，此句情感真挚，令人读之深感哀痛。
"素衣莫起风尘叹
犹及清明可到家",出自宋代,陆游,临安春雨初霁,解释：不要叹息那京都的尘土使洁白的衣衫变得污秽，清明时节还来得及回到镜湖边的山阴故家。,赏析：此句语意沉重，道出了诗人羁旅风霜之苦，又寓有京中恶浊，久居为其所化的意思，流露出诗人深深的无奈和愤慨。
"西北望乡何处是
东南见月几回圆",出自唐代,白居易,八月十五日夜湓亭望月,解释：向着西北望也看不到家乡，人在东南看见月亮又圆了好几次。,赏析：诗人以特定空间与特定时间的月亮作今昔对比，抒发了诗人谪居生活的愁闷和浓厚的思乡之情。
"故国三千里
深宫二十年",出自唐代,张祜,宫词二首·其一,解释：与故乡相隔，有三千里之遥远，我已被幽闭在这深宫里二十年了。,赏析：诗人以举重若轻、驭繁如简的笔力，将宫人远离故乡、幽闭深宫的整个遭遇浓缩在短短十个字中，使读者感到其命运更加悲惨，其身世更可同情。
"马上相逢无纸笔
凭君传语报平安",出自唐代,岑参,逢入京使,解释：在马上匆匆相逢没有纸笔写书信，只有托你捎个口信，给家人报平安。,赏析：此句写遇到入京使者时欲捎书回家报平安又苦于没有纸笔的情景，简净之中寄寓着诗人的一片深情，寄至味于淡薄，颇有韵味。
"不知何处吹芦管
一夜征人尽望乡",出自唐代,李益,夜上受降城闻笛,解释：不知何处吹起凄凉的芦管，惹得出征的将士一夜都在思念家乡。,赏析：此句意境悲壮苍凉，以“望乡”一词写出了征人望乡、彻夜难眠的景象，表达出诗人月夜闻笛时的迷惘心情，也写出了人物不尽的乡愁。
"仍怜故乡水
万里送行舟",出自唐代,李白,渡荆门送别,解释：我依然喜爱这来自故乡之水，不远万里来送我东行的小舟。,赏析：此句意境高远，风格雄健，运用了拟人的修辞手法，将故乡水拟人化，借写故乡之水恋恋不舍，表达了诗人离开故乡时依依不舍，思念故乡的感情。
"共看明月应垂泪
一夜乡心五处同",出自唐代,白居易,望月有感,解释：同看明月，分散的亲人都会伤心落泪，夜里思乡的情感各地都相同。,赏析：孤单的诗人凄惶中夜深难寐，举首遥望孤悬夜空的明月，情不自禁联想到飘散在各地的亲人们，以绵邈真挚的诗思，构出一幅五地望月共生乡愁的图景，表达了对亲人的深切思念。
"独在异乡为异客
每逢佳节倍思亲",出自唐代,王维,九月九日忆山东兄弟,解释：一个人独自漂泊在他乡作异客，每逢节日加倍思念远方的亲人。,赏析：诗人在外强烈的异地作客之感，在外越是孤独，对家乡亲人的思念之情就越强烈，诗人平淡地叙述自己身在异乡的漂泊之感，包含着诗人质朴的思乡之情。
"今年海角天涯
萧萧两鬓生华",出自宋代,李清照,清平乐·年年雪里,解释：今年又到梅花开放的时候，我却漂泊天涯，两鬓稀疏的头发也已斑白。,赏析：此句由“今年”两字领起，同上阕的“年年”明显相对，“萧萧两鬓生华”包含着词人许多的辛酸和哀愁，词人南渡后背井离乡，四处奔波，颠沛流离，沦落飘零，生活的折磨使词人很快变得憔悴苍老，头发稀疏，两鬓花白。
"京口瓜洲一水间
钟山只隔数重山",出自宋代,王安石,泊船瓜洲,解释：京口和瓜洲之间只隔着一条长江，钟山就隐没在几座山峦的后面。,赏析：诗人站在瓜洲渡口，放眼南望，“一水间”三字，形容舟行迅疾，抒发了诗人眺望江南、思念家乡的深切感情。
"他乡共酌金花酒
万里同悲鸿雁天",出自唐代,卢照邻,九月九日登玄武山,解释：远在他乡和朋友们喝着菊花酒，身隔万里伤心望着飞向南边的鸿雁。,赏析：诗人与友人共饮菊花酒，借酒消乡愁，又写鸿雁南归，烘托出异乡思归的无奈心情。
"阶下青苔与红树
雨中寥落月中愁",出自唐代,李商隐,端居,解释：台阶下的青苔和庭中被秋霜染红的树叶，在迷蒙的秋雨以及冷冷的清月笼罩下，越发勾起我那悠长的愁绪。,赏析：青苔、红树，在迷濛雨色、朦胧夜月的笼罩下，显示出黯淡模糊的色调，流露出诗人胸怀愁绪而寥落之情。
"人言落日是天涯
望极天涯不见家",出自宋代,李觏,乡思,解释：人们都说太阳落山的地方就是天涯，我竭力朝天涯眺望，也没有看到我的家。,赏析：此句从极远处着笔，写诗人极目天涯时所见所感，极力写出故乡的遥远，流露出诗人的浓郁乡思。
"海上生明月
天涯共此时",出自唐代,张九龄,望月怀远,解释：辽阔无际的海上升起一轮明月，使人忆起远隔天涯海角的亲友，此刻我们正望着同一轮明月。,赏析：起句“海上生明月”，意境雄浑阔大，自然具有一种高华浑融的气象，“天涯共此时”一句即由景入情，转入“怀远”，写了诗人月夜怀念远人的心情。
"露从今夜白
月是故乡明",出自唐代,杜甫,月夜忆舍弟,解释：从今夜就进入了白露节气，月亮还是故乡的最明亮。,赏析：“露从今夜白”一句既写景，也点明节候，白露的夜晚，清露盈盈，令人顿生寒意，“月是故乡明”一句又融入了诗人的主观感情，深刻地表现了诗人对故乡的感怀。
"山一程
水一程
身向榆关那畔行
夜深千帐灯",出自清代,纳兰性德,长相思·山一程,解释：跋山涉水走过一程又一程，将士们马不停蹄地向着山海关进发。夜已经深了，千万个帐篷里都点起了灯。,赏析：此句写出旅程的艰难曲折，遥远漫长，表达了诗人对故乡的深深依恋和怀念，在豪迈的词句中寓寄了词人无限的乡愁。
"春风又绿江南岸
明月何时照我还？",出自宋代,王安石,泊船瓜洲,解释：和煦的春风又吹绿了江南岸边景色，皎洁的明月什么时候才能照着我回到家乡呢？,赏析：诗人描写江岸美丽的春色，“绿”字将诗意开拓一层，把看不见的春风转换成鲜明的视觉形象，又将草绿与思归联系在一起，暗示了诗人希望早日辞官归家的心愿，寄托了诗人浩荡的情思，结句的疑问语气更增添了诗人内心的无奈和伤感。
"今夜月明人尽望
不知秋思落谁家",出自唐代,王建,十五夜望月,解释：今天晚上人们都仰望当空明月，不知道这秋思之情落在了谁家？,赏析：此句诗人没有正面写自己的思亲之愁，而是用一种疑问式的委婉语气道出那绵绵的愁念会落在谁家，更具月明人远、思深情长的意境。
"洛阳亲友如相问
一片冰心在玉壶",出自唐代,王昌龄,芙蓉楼送辛渐,解释：如果洛阳的亲友若是问起我来，就说我的心依然像玉壶里的冰一样纯洁，未受功名利禄等世情的玷污。,赏析：诗人以晶莹透明的冰心玉壶自喻，表现了不肯妥协的精神，刻画了诗人孤介傲岸、冰清玉洁的形象，后人常用“冰心玉壶”形容人内心情操的纯洁高净。
"落叶他乡树
寒灯独夜人",出自唐代,马戴,灞上秋居,解释：面对他乡树木落叶纷纷，寒夜的孤灯独照我一人。,赏析：此句的一个“寒”字，一个“独”字，写出诗人灞上秋居漂泊异乡孤独寂寞的情景，突出诗人的孤独凄苦。
"近乡情更怯
不敢问来人",出自唐代,宋之问,渡汉江,解释：离故乡越近心中越胆怯，不敢询问从家那边过来的人。,赏析：此句写了诗人急切盼回家，又怕到家里的矛盾心理状态，更能体现诗人此际强自抑制的急切愿望和由此造成的精神痛苦。
"羌笛何须怨杨柳
春风不度玉门关",出自唐代,王之涣,凉州词二首·其一,解释：何必用羌笛吹起那哀怨的《杨柳曲》去埋怨春光迟迟不来呢，原来玉门关一带春风是吹不到的啊！,赏析：诗人不说“闻折柳”却说“怨杨柳”，造语尤妙，深化了诗意，“何须怨”看似宽慰，实则曲折表达了心中的抱怨，诗人委婉地表达了对皇帝不顾及戍守玉门关边塞士兵的生死，不能体恤边塞士兵的抱怨之情。
"谁家玉笛暗飞声
散入春风满洛城",出自唐代,李白,春夜洛城闻笛,解释：这是从谁家飘出的悠扬笛声呢？它随着春风飘扬，传遍洛阳全城。,赏析：此句是诗人的想象，也是艺术的夸张，扣紧一个“闻”字，抒写了诗人闻笛的感受，想象笛声散入洛阳城中，衬出笛声的动人、夜的安静。
"风一更
雪一更
聒碎乡心梦不成
故园无此声",出自清代,纳兰性德,长相思·山一程,解释：帐篷外风声不断，雪花不住，嘈杂的声音打碎了思乡的梦，想到远隔千里的家乡没有这样的声音啊。,赏析：此句描写塞外狂风骤雪的荒寒景象，以哀景衬伤情，风雪载途，行者乡思更烈，表现了一夜征人尽望乡的愁肠百转的心态。
"举杯邀明月
对影成三人",出自唐代,李白,月下独酌·其一,解释：举杯向天，邀请明月与我共饮，月影与我的影子相对，便映照出三人。,赏析：此句描写了诗人独饮时所产生的寂寥之感，他邀请明月和自己的影子一起共饮，表现出一种孤寂忧愁的情怀。
"萧萧梧叶送寒声
江上秋风动客情",出自宋代,叶绍翁,夜书所见,解释：瑟瑟的秋风吹动梧桐树叶，送来阵阵寒意，江上秋风吹来不禁思念起自己的家乡。,赏析：此句描写落木萧萧，寒声阵阵的自然环境，塑造了凄怆落寞的气氛，此萧索之景引发了诗人思乡的愁绪。
"但愿人长久
千里共婵娟",出自宋代,苏轼,水调歌头·明月几时有,解释：只希望这世上所有人的亲人都能平安健康长寿，即使相隔千里也能一起欣赏这美好的月亮。,赏析：但愿人们年年平安，相隔千里也能够共享这美好的月光，表达了诗人的祝福和对亲人的思念，表现了诗人旷达的态度和乐观的精神。
